_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b12c5e4bf4b31eb7b4e899,,,,,,,Steam,,Windows,Company:Frosted Wings Studio,,,,,2019-06-10,2019-06-10,,1,1,the last cowboy,1087100,Cracked,SKIDROW,STEAM,2019-06-09,2019-06-10,1
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0afb41235b5c6f2e3a1d2,,,,,,,Steam,,"Windows,OS X,Linux","Company:Crescent Moon Games,Company:We're Five Games",,One-time game purchase,,Company:Crescent Moon Games,2015-02-27;2015-02-27;2015-02-27,2015-02-27,,1,1,the deer god,328940,Cracked,TPTB,STEAM,2015-02-27,2015-03-05,6
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0afb41235b5c6f2e3a1d2,,,,,,,Steam,,"Windows,OS X,Linux","Company:Crescent Moon Games,Company:We're Five Games",,One-time game purchase,,Company:Crescent Moon Games,2015-02-27;2015-02-27;2015-02-27,2015-02-27,,1,1,the deer god,328940,Cracked,TPTB,STEAM,2015-02-27,2015-03-05,6
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0771e1235b5c6f2e39fce,,,,,,,Steam,,"Windows,OS X",Company:MixedBag,,One-time game purchase,,,2017-02-23;2017-02-23,2017-02-23,,1,1,forma8,510240,Cracked,SKIDROW,STEAM,2017-02-25,2017-02-25,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b091f21235b5c6f2e3a095,,EA Desktop,,,,,Steam,,Windows,Company:Piranha Bytes,"RPG,ARPG,","One-time game purchase,DLC",Singleplayer,"Company:Deep Silver,Company:THQ Nordic",2012-04-27,2012-04-27,,1,1,risen 2 dark waters,40390,Cracked,P2P,STEAM,2012-04-27,2012-04-27,0
